QuickFLow Export
Version: 1.0.0
Project name: 794b
Date: sex fev 5 12:10:42 2016

--------------------------------------------------------------------------------
Network: A1
Bars: 793
Lines: 792
--------------------------------------------------------------------------------

             Id  Voltage_A_Abs Voltage_A_Phas  Voltage_B_Abs Voltage_B_Phas  Voltage_C_Abs Voltage_C_Phas  Current_A_Abs Current_A_Phas  Current_B_Abs Current_B_Phas  Current_C_Abs Current_C_Phas    Load_A_Real    Load_A_Imag    Load_B_Real    Load_B_Imag    Load_C_Real    Load_C_Imag   Shunt_A_Real   Shunt_A_Imag   Shunt_B_Real   Shunt_B_Imag   Shunt_C_Real   Shunt_C_Imag              
             30    7806.020829   -1.832913455    7885.700169   -121.0172752    7913.225192    119.2781296              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             31    7806.020829   -1.832913455    7885.700169   -121.0172752    7913.225192    119.2781296              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             32    7789.617832   -2.322753516    7921.881907   -120.9465966     7894.39734    119.4157999              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             33    7789.617832   -2.322753516    7921.881907   -120.9465966     7894.39734    119.4157999              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             34    7760.945991   -2.349526184    7862.836194   -121.3047509    7897.873976    119.0716847              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             35    7760.945991   -2.349526184    7862.836194   -121.3047509    7897.873976    119.0716847              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             36    7757.460241   -2.460086883    7870.910488   -121.2881258    7893.610081    119.1021939              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             37    7757.460241   -2.460086883    7870.910488   -121.2881258    7893.610081    119.1021939              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             38    7749.347164   -2.484605647    7856.943399   -121.3798232    7893.917048    119.0177892              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             39    7749.347164   -2.484605647    7856.943399   -121.3798232    7893.917048    119.0177892              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             40    7734.703938   -2.654130228    7849.519866    -121.473887    7888.971032    118.9506657              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             41    7734.703938   -2.654130228    7849.519866    -121.473887    7888.971032    118.9506657              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             42    7734.566371   -2.655150221    7849.686938   -121.4742402    7888.954805    118.9511596              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             43    7734.520235   -2.655366098    7849.355699   -121.4750078    7888.905046    118.9502129    1.458647208    23.07393001     1.32288356    23.07389185    0.534409296    23.07395208       10691.94        4554.75        9696.79        4130.81        3917.24        1668.74              0              0              0              0              0              0              
             44    7734.703938   -2.654130228    7849.519866    -121.473887    7888.971032    118.9506657              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             45    7732.301526   -2.730196318    7855.026702   -121.4626633    7886.080419    118.9715341              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             46    7732.301526   -2.730196318    7855.026702   -121.4626633    7886.080419    118.9715341              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
             47    7721.988408   -2.801821468      7843.1013   -121.5555361    7884.672027    118.8921108              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
